	GameID	PlayerID	Max_Sprint_Speed	Total_Distance	Number_High_Speed_Sprints	Total_Duration_High_Speed_Sprints	Number_Acceleration	Number_Jumps	Performance_Score
0	1.0	2.0	7.60833942	847.837622714	6.0	35.2	134.0	27.0	0.23848906274380782
1	1.0	3.0	7.277783599999999	1379.7699927039998	13.0	24.6	225.0	12.0	0.19901867807825963
2	1.0	4.0	7.638895	807.07425677	5.0	14.0	294.0	3.0	0.3915377021993822
3	1.0	6.0	6.93889444	692.062775872	6.0	9.7	113.0	8.0	0.1975254337697297
4	1.0	7.0	7.47500598	1479.378683502	14.0	46.7	167.0	14.0	0.1633793988621259
5	1.0	8.0	7.76111732	1106.13282935	8.0	11.5	297.0	14.0	0.29878870894213727
6	1.0	9.0	7.09445012	928.581576198	8.0	17.8	217.0	9.0	0.27116626740643957
7	1.0	10.0	8.84167374	1622.3424089840003	9.0	33.4	256.0	23.0	0.19810861025403279
8	1.0	11.0	7.64445056	1215.654028078	11.0	19.2	251.0	15.0	0.24365485011249838
9	1.0	12.0	5.92222696	1643.5271481539999	11.0	14.4	531.0	18.0	0.34949224942536705
10	1.0	13.0	7.99445084	760.37977497	7.0	15.8	166.0	6.0	0.25618777144313926
11	1.0	17.0	5.82222688	426.37978554800003	4.0	7.9	115.0	0.0	0.2976219893654272
12	2.0	2.0	7.18889464	1945.1493338960001	19.0	32.0	628.0	32.0	0.365524634849457
13	2.0	3.0	7.7083395	1251.8171125640001	8.0	18.7	238.0	6.0	0.21624564585600378
14	2.0	4.0	7.85833962	1767.06113587	14.0	26.5	583.0	17.0	0.362466236735298
15	2.0	6.0	7.59445052	1083.154755412	9.0	13.1	100.0	23.0	0.13396054374964014
16	2.0	7.0	7.34445032	1005.182470812	11.0	20.7	131.0	6.0	0.16783022475881604
17	2.0	8.0	8.04445088	969.8702203400001	5.0	14.7	226.0	8.0	0.26158138963279265
18	2.0	9.0	7.76667288	801.304529932	4.0	16.1	57.0	86.0	0.20354308993341264
19	2.0	10.0	7.74722842	607.9885419459999	6.0	10.3	80.0	7.0	0.16990451772226794
20	2.0	11.0	6.86667216	1056.320567278	12.0	22.0	252.0	11.0	0.2811646475513869
21	2.0	12.0	7.38056146	1061.9197384240001	8.0	12.0	326.0	12.0	0.3371252902138437
22	2.0	13.0	7.50556156	1597.646278116	12.0	26.7	487.0	11.0	0.3359316810933239
23	2.0	17.0	7.30833918	712.53251447	3.0	12.1	212.0	2.0	0.32152918687564797
24	3.0	2.0	7.1805613	1163.460930768	12.0	32.2	143.0	26.0	0.18324637670408647
25	3.0	3.0	8.00278418	1365.7285925820001	12.0	20.2	225.0	11.0	0.19637869592592344
26	3.0	4.0	6.63056086	1170.985381232	10.0	17.9	439.0	8.0	0.405555874233336
27	3.0	6.0	8.3750067	795.5578586680001	3.0	6.9	71.0	8.0	0.11174548655561642
28	3.0	7.0	8.76667368	1154.523423618	11.0	35.8	119.0	6.0	0.1488059891081464
29	3.0	8.0	8.12778428	1544.8981803620002	14.0	41.0	389.0	14.0	0.29645966693590226
30	3.0	9.0	7.90833966	1095.839487782	9.0	30.7	146.0	18.0	0.18588488758722566
31	3.0	10.0	8.083339800000001	2021.2349503199998	18.0	56.8	284.0	13.0	0.18394694785044013
32	3.0	11.0	7.01667228	1182.4737237559998	14.0	33.5	235.0	6.0	0.24398005148360588
33	3.0	12.0	6.7361165	1974.1774126739997	19.0	41.1	575.0	10.0	0.3267690106565548
34	3.0	13.0	6.85833882	1108.3350533340001	9.0	15.5	269.0	8.0	0.27202965303051013
35	3.0	17.0	7.03333896	800.7478628199999	5.0	15.1	229.0	2.0	0.31358185473726924
36	4.0	2.0	7.61389498	1205.387353198	15.0	30.2	398.0	11.0	0.37680833368208727
37	4.0	3.0	7.76945066	1411.764462744	8.0	15.2	194.0	20.0	0.16801669560300603
38	4.0	4.0	4.65555928	255.21325972600002	0.0	0.0	121.0	0.0	0.4741132969733118
39	4.0	6.0	5.36389318	399.85337543800006	0.0	0.0	37.0	0.0	0.09253391936349202
40	4.0	7.0	7.32500586	1513.670099824	17.0	32.0	182.0	10.0	0.159215670592966
41	4.0	8.0	7.75556176	1397.4102845940001	11.0	16.3	381.0	11.0	0.30005504082991796
42	4.0	9.0	6.96667224	1118.467283662	12.0	22.5	240.0	33.0	0.2749298119773401
43	4.0	10.0	8.90834046	1661.4002180080001	20.0	33.8	486.0	10.0	0.33092568186803534
44	4.0	11.0	7.01111672	670.7660921680001	3.0	2.5	105.0	10.0	0.17964533599265414
45	4.0	12.0	7.23056134	1442.330598308	8.0	12.4	268.0	26.0	0.21798053814349017
46	4.0	13.0	6.65000532	565.70045256	4.0	9.9	151.0	2.0	0.29503246682005796
47	4.0	14.0	7.70556172	634.728007782	3.0	6.6	123.0	0.0	0.20890838024204855
48	4.0	15.0	4.69722598	448.735914544	0.0	0.0	55.0	10.0	0.14485134328071825
49	4.0	16.0	7.64167278	774.812008738	3.0	9.5	202.0	5.0	0.28329452502616437
50	4.0	17.0	3.93889204	181.717089818	0.0	0.0	18.0	0.0	0.09905507521624973
51	4.0	18.0	5.7222268	779.857290552	12.0	5.8	218.0	2.0	0.30492758467601166
52	4.0	19.0	4.64722594	356.477229626	0.0	0.0	41.0	0.0	0.11501435882178329
53	4.0	20.0	7.65833946	659.4719164659999	4.0	6.2	74.0	0.0	0.12767791606838055
54	4.0	21.0	8.027784200000001	692.091387006	0.0	0.0	184.0	7.0	0.2759751148273489
55	5.0	2.0	1.68889024	13.033899315999998	0.0	0.0	0.0	0.0	0.0
56	5.0	3.0	7.8055618	1317.825220926	9.0	20.6	203.0	8.0	0.18257352809725172
57	5.0	4.0	5.96944922	646.37690599	5.0	10.6	145.0	2.0	0.2515560170748358
58	5.0	6.0	6.03333816	871.70486403	9.0	16.8	123.0	10.0	0.18217174935315594
59	5.0	7.0	7.83611738	1574.6901486400002	15.0	44.0	216.0	11.0	0.1816230324721389
60	5.0	8.0	8.96111828	1390.867223804	11.0	33.7	425.0	12.0	0.3463306861761815
61	5.0	9.0	7.46667264	1126.65090132	9.0	29.5	135.0	50.0	0.1983755569166494
62	5.0	10.0	8.52222904	1697.34302454	20.0	45.4	241.0	24.0	0.19465717608233155
63	5.0	11.0	6.85278326	1073.5200254819997	12.0	28.3	186.0	18.0	0.22756911301241145
64	5.0	12.0	6.76111652	925.0490733719998	6.0	20.9	164.0	17.0	0.22474483352776134
